product_id,title,price,category,type,image_url,product_url,scrape_date
,Baukasten-Sakko - Regular Fit - Flex - Schurwoll-Mix,"129,99",jackets,suit,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1733206023/productimages/2229991-2-08.jpg",,2025-03-21 22:08:19
,Poloshirt,"19,99",shirts,poloshirt,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1737099904/productimages/2232540-4-08.jpg",,2025-03-21 22:08:19
,Baukasten-Hose - Regular Fit - Flex - Schurwoll-Mix,"79,99",pants,other,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1732870841/productimages/2229992-2-08.jpg",,2025-03-21 22:08:19
,Baukasten-Sakko - Slim Fit - Leinen-Mix,"69,99",jackets,suit,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1733983928/productimages/2230021-1-08.jpg",,2025-03-21 22:08:19
,Businesshemd - Slim Fit - Kent,"19,99",shirts,hemd,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1721799121/productimages/2225904-1-08.jpg",,2025-03-21 22:08:19
,Poloshirt,"19,99",shirts,poloshirt,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1737450609/productimages/2232540-3-08.jpg",,2025-03-21 22:08:19
,Chino - Tapered Fit - Leinen-Mix,"39,99",other,other,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1738397745/productimages/2230893-1-08.jpg",,2025-03-21 22:08:19
,Hemd - Regular Fit - Kent,"25,99",shirts,hemd,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1738246706/productimages/2233087-1-08.jpg",,2025-03-21 22:08:19
,Multipack 3er - Blümchen und Häschen - Baby-Schlafanzug,"24,99",jackets,suit,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1737705893/productimages/2232955-1-08.jpg",,2025-03-21 22:08:20
,Multipack 2er - Häschen - Baby-Schlafanzug,"19,99",jackets,suit,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_262/v1738244242/productimages/2232962-1-08.jpg",,2025-03-21 22:08:20
